src\safeguard_monitoring.py:158: error: Unsupported target for indexed assignment ("Collection[str]")  [index]
src\algorithms\qpg.py:106: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:106: error: Expression type contains "Any" (has type "Any | None")  [misc]
src\algorithms\qpg.py:107: error: Expression type contains "Any" (has type "Any | None")  [misc]
src\algorithms\qpg.py:107: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:108: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:109: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:111: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:111: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:112: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:112: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:113: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:113: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:114: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:115: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:116: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:121: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:122: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:122: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:123: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:123: error: Expression type contains "Any" (has type "Any | None")  [misc]
src\algorithms\qpg.py:124: error: Expression type contains "Any" (has type "Any | None")  [misc]
src\algorithms\qpg.py:125: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:126: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:128: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:128: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:129: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:129: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:130: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:130: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:131: error: Expression type contains "Any" (has type "tuple[str, Any | None]")  [misc]
src\algorithms\qpg.py:131: error: Expression type contains "Any" (has type "Any | None")  [misc]
src\algorithms\qpg.py:133: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:139: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:140: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:140: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:141: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:142: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:144: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:146: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:149: error: Explicit "Any" is not allowed  [explicit-any]
src\algorithms\qpg.py:167: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:168: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:168: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:177: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:177: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:178: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:178: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:182: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:182: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:183: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:183: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:184: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:184: error: Expression type contains "Any" (has type "list[dict[str, Any]] | None")  [misc]
src\algorithms\qpg.py:187: error: Expression type contains "Any" (has type "list[dict[str, Any]] | None")  [misc]
src\algorithms\qpg.py:189: error: Expression type contains "Any" (has type "list[Any]")  [misc]
src\algorithms\qpg.py:189: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:189: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:189: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:190: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:190: error: Expression type contains "Any" (has type "list[Any]")  [misc]
src\algorithms\qpg.py:191: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:191: error: Expression type contains "Any" (has type "list[Any]")  [misc]
src\algorithms\qpg.py:193: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:195: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:196: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:197: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:198: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:203: error: Explicit "Any" is not allowed  [explicit-any]
src\algorithms\qpg.py:218: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:219: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:219: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:222: error: Explicit "Any" is not allowed  [explicit-any]
src\algorithms\qpg.py:225: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:225: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:226: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:226: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:227: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:227: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:230: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:231: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:232: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:233: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:234: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:236: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:236: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:237: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:237: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:238: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:238: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:239: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:239: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:240: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:241: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:248: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:248: error: Expression type contains "Any" (has type "Literal[False] | Any")  [misc]
src\algorithms\qpg.py:248: error: Expression type contains "Any" (has type "Any | Literal[False]")  [misc]
src\algorithms\qpg.py:248: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:248: error: Expression type contains "Any" (has type "Any | None")  [misc]
src\algorithms\qpg.py:250: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:251: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:253: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:253: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:254: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:254: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:262: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:263: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:263: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:264: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:264: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:265: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:267: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:270: error: Explicit "Any" is not allowed  [explicit-any]
src\algorithms\qpg.py:284: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:286: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:289: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:289: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:290: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:291: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:291: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:292: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:292: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:295: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:295: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:295: error: Expression type contains "Any" (has type "Any | None")  [misc]
src\algorithms\qpg.py:295: error: Expression type contains "Any" (has type "Any | bool")  [misc]
src\algorithms\qpg.py:296: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:296: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:297: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:298: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:298: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:301: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:301: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:302: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:303: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:303: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:304: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:304: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:307: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:307: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:308: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:309: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:309: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:313: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:315: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\workload_analysis.py:170: error: Item "str" of "str | int | float | bool | list[JSONValue] | dict[str, JSONValue] | None" has no attribute "append"  [union-attr]
src\workload_analysis.py:170: error: Item "int" of "str | int | float | bool | list[JSONValue] | dict[str, JSONValue] | None" has no attribute "append"  [union-attr]
src\workload_analysis.py:170: error: Item "float" of "str | int | float | bool | list[JSONValue] | dict[str, JSONValue] | None" has no attribute "append"  [union-attr]
src\workload_analysis.py:170: error: Item "bool" of "str | int | float | bool | list[JSONValue] | dict[str, JSONValue] | None" has no attribute "append"  [union-attr]
src\workload_analysis.py:170: error: Item "None" of "str | int | float | bool | list[JSONValue] | dict[str, JSONValue] | None" has no attribute "append"  [union-attr]
src\workload_analysis.py:170: error: Item "dict[str, JSONValue]" of "str | int | float | bool | list[JSONValue] | dict[str, JSONValue] | None" has no attribute "append"  [union-attr]
src\workload_analysis.py:194: error: Argument 1 to "len" has incompatible type "str | int | float | bool | list[JSONValue] | dict[str, JSONValue] | None"; expected "Sized"  [arg-type]
src\workload_analysis.py:195: error: Item "str" of "str | int | float | bool | list[JSONValue] | dict[str, JSONValue] | None" has no attribute "get"  [union-attr]
src\workload_analysis.py:195: error: Item "int" of "str | int | float | bool | list[JSONValue] | dict[str, JSONValue] | None" has no attribute "get"  [union-attr]
src\workload_analysis.py:195: error: Item "float" of "str | int | float | bool | list[JSONValue] | dict[str, JSONValue] | None" has no attribute "get"  [union-attr]
src\workload_analysis.py:195: error: Item "bool" of "str | int | float | bool | list[JSONValue] | dict[str, JSONValue] | None" has no attribute "get"  [union-attr]
src\workload_analysis.py:195: error: Item "None" of "str | int | float | bool | list[JSONValue] | dict[str, JSONValue] | None" has no attribute "get"  [union-attr]
src\workload_analysis.py:195: error: Item "list[JSONValue]" of "str | int | float | bool | list[JSONValue] | dict[str, JSONValue] | None" has no attribute "get"  [union-attr]
src\storage_budget.py:27: error: Explicit "Any" is not allowed  [explicit-any]
src\storage_budget.py:43: error: Explicit "Any" is not allowed  [explicit-any]
src\storage_budget.py:68: error: Expression type contains "Any" (has type "_GeneratorContextManager[Any, None, None]")  [misc]
src\storage_budget.py:68: error: Expression has type "Any"  [misc]
src\storage_budget.py:69: error: Expression has type "Any"  [misc]
src\storage_budget.py:69: error: Expression type contains "Any" (has type "type[RealDictCursor]")  [misc]
src\storage_budget.py:86: error: Expression has type "Any"  [misc]
src\storage_budget.py:102: error: Expression has type "Any"  [misc]
src\storage_budget.py:116: error: Expression has type "Any"  [misc]
src\storage_budget.py:118: error: Expression has type "Any"  [misc]
src\storage_budget.py:121: error: Explicit "Any" is not allowed  [explicit-any]
src\storage_budget.py:123: error: Expression has type "Any"  [misc]
src\storage_budget.py:124: error: Expression has type "Any"  [misc]
src\storage_budget.py:127: error: Expression has type "Any"  [misc]
src\storage_budget.py:128: error: Expression type contains "Any" (has type "dict[str, dict[str, Any]]")  [misc]
src\storage_budget.py:129: error: Expression type contains "Any" (has type "dict[str, dict[str, Any]]")  [misc]
src\storage_budget.py:129: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:133: error: Expression type contains "Any" (has type "tuple[str, list[Any]]")  [misc]
src\storage_budget.py:133: error: Expression type contains "Any" (has type "list[Any]")  [misc]
src\storage_budget.py:136: error: Expression type contains "Any" (has type "dict[str, dict[str, Any]]")  [misc]
src\storage_budget.py:136: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:136: error: Expression has type "Any"  [misc]
src\storage_budget.py:137: error: Expression type contains "Any" (has type "dict[str, dict[str, Any]]")  [misc]
src\storage_budget.py:137: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:137: error: Expression has type "Any"  [misc]
src\storage_budget.py:138: error: Expression type contains "Any" (has type "dict[str, dict[str, Any]]")  [misc]
src\storage_budget.py:138: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:138: error: Expression has type "Any"  [misc]
src\storage_budget.py:139: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:140: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\storage_budget.py:140: error: Expression has type "Any"  [misc]
src\storage_budget.py:142: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\storage_budget.py:142: error: Expression has type "Any"  [misc]
src\storage_budget.py:148: error: Expression has type "Any"  [misc]
src\storage_budget.py:149: error: Expression type contains "Any" (has type "dict[str, dict[str, Any]]")  [misc]
src\storage_budget.py:149: error: Expression type contains "Any" (has type "dict_values[str, dict[str, Any]]")  [misc]
src\storage_budget.py:152: error: Expression has type "Any"  [misc]
src\storage_budget.py:161: error: Explicit "Any" is not allowed  [explicit-any]
src\storage_budget.py:178: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:179: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:181: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:181: error: Expression type contains "Any" (has type "Any | None")  [misc]
src\storage_budget.py:184: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:184: error: Expression has type "Any"  [misc]
src\storage_budget.py:185: error: Expression has type "Any"  [misc]
src\storage_budget.py:189: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:189: error: Expression has type "Any"  [misc]
src\storage_budget.py:193: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:193: error: Expression has type "Any"  [misc]
src\storage_budget.py:196: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:196: error: Expression has type "Any"  [misc]
src\storage_budget.py:197: error: Expression has type "Any"  [misc]
src\storage_budget.py:199: error: Expression has type "Any"  [misc]
src\storage_budget.py:200: error: Expression has type "Any"  [misc]
src\storage_budget.py:203: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\storage_budget.py:203: error: Expression has type "Any"  [misc]
src\storage_budget.py:204: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\storage_budget.py:204: error: Expression has type "Any"  [misc]
src\storage_budget.py:206: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\storage_budget.py:206: error: Expression has type "Any"  [misc]
src\storage_budget.py:207: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\storage_budget.py:207: error: Expression has type "Any"  [misc]
src\storage_budget.py:208: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\storage_budget.py:208: error: Expression has type "Any"  [misc]
src\storage_budget.py:209: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\storage_budget.py:209: error: Expression has type "Any"  [misc]
src\storage_budget.py:210: error: Expression type contains "Any" (has type "tuple[str, Any | float]")  [misc]
src\storage_budget.py:210: error: Expression type contains "Any" (has type "Any | float")  [misc]
src\storage_budget.py:210: error: Expression has type "Any"  [misc]
src\storage_budget.py:213: error: Expression has type "Any"  [misc]
src\storage_budget.py:215: error: Expression has type "Any"  [misc]
src\storage_budget.py:217: error: Expression has type "Any"  [misc]
src\storage_budget.py:219: error: Expression has type "Any"  [misc]
src\storage_budget.py:227: error: Explicit "Any" is not allowed  [explicit-any]
src\storage_budget.py:234: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:235: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:237: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:237: error: Expression type contains "Any" (has type "Any | None")  [misc]
src\storage_budget.py:238: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:238: error: Expression type contains "Any" (has type "tuple[str, Any | None]")  [misc]
src\storage_budget.py:238: error: Expression type contains "Any" (has type "Any | None")  [misc]
src\storage_budget.py:240: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:240: error: Expression has type "Any"  [misc]
src\storage_budget.py:241: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:241: error: Expression has type "Any"  [misc]
src\storage_budget.py:242: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:242: error: Expression has type "Any"  [misc]
src\storage_budget.py:244: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:246: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\storage_budget.py:246: error: Expression has type "Any"  [misc]
src\storage_budget.py:247: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\storage_budget.py:247: error: Expression has type "Any"  [misc]
src\storage_budget.py:248: error: Expression type contains "Any" (has type "tuple[str, Any | float]")  [misc]
src\storage_budget.py:248: error: Expression type contains "Any" (has type "Any | float")  [misc]
src\storage_budget.py:248: error: Expression has type "Any"  [misc]
src\storage_budget.py:249: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\storage_budget.py:249: error: Expression has type "Any"  [misc]
src\storage_budget.py:250: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\storage_budget.py:250: error: Expression has type "Any"  [misc]
src\storage_budget.py:251: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\storage_budget.py:251: error: Expression has type "Any"  [misc]
src\storage_budget.py:252: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\storage_budget.py:252: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\storage_budget.py:252: error: Expression has type "Any"  [misc]
src\statistics_refresh.py:28: error: Explicit "Any" is not allowed  [explicit-any]
src\statistics_refresh.py:45: error: Explicit "Any" is not allowed  [explicit-any]
src\statistics_refresh.py:65: error: Expression type contains "Any" (has type "_GeneratorContextManager[Any, None, None]")  [misc]
src\statistics_refresh.py:65: error: Expression has type "Any"  [misc]
src\statistics_refresh.py:66: error: Expression has type "Any"  [misc]
src\statistics_refresh.py:66: error: Expression type contains "Any" (has type "type[RealDictCursor]")  [misc]
src\statistics_refresh.py:108: error: Expression has type "Any"  [misc]
src\statistics_refresh.py:109: error: Expression has type "Any"  [misc]
src\statistics_refresh.py:111: error: Expression has type "Any"  [misc]
src\statistics_refresh.py:112: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\statistics_refresh.py:113: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\statistics_refresh.py:114: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\statistics_refresh.py:114: error: Expression has type "Any"  [misc]
src\statistics_refresh.py:115: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\statistics_refresh.py:115: error: Expression has type "Any"  [misc]
src\statistics_refresh.py:116: error: Expression has type "Any"  [misc]
src\statistics_refresh.py:117: error: Expression has type "Any"  [misc]
src\statistics_refresh.py:118: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\statistics_refresh.py:118: error: Expression has type "Any"  [misc]
src\statistics_refresh.py:119: error: Expression type contains "Any" (has type "tuple[str, Any | None]")  [misc]
src\statistics_refresh.py:119: error: Expression has type "Any"  [misc]
src\statistics_refresh.py:119: error: Expression type contains "Any" (has type "Any | None")  [misc]
src\statistics_refresh.py:120: error: Expression has type "Any"  [misc]
src\statistics_refresh.py:122: error: Expression type contains "Any" (has type "tuple[str, Any | None]")  [misc]
src\statistics_refresh.py:122: error: Expression has type "Any"  [misc]
src\statistics_refresh.py:122: error: Expression type contains "Any" (has type "Any | None")  [misc]
src\statistics_refresh.py:123: error: Expression has type "Any"  [misc]
src\statistics_refresh.py:125: error: Expression type contains "Any" (has type "tuple[str, Any | str]")  [misc]
